S1 X osa,S2 X osa,S3 X osa,S4 X osa,S5 X osa,S6 X osa,Average,S1 Y osa,S2 Y osa,S3 Y osa,S4 Y osa,S5 Y osa,S6 Y osa,Average,S1 Z osa,S2 Z osa,S3 Z osa,S4 Z osa,S5 Z osa,S6 Z osa,Average
-70.534858,-109.127876,-59.540168,-68.672294,-28.902488,-74.119392,-68.482846,-2510.105255,-2488.254547,-2454.016327,-2480.067322,-2497.04425,-2526.394867,-2492.647095,835.083679,880.345032,855.381531,910.601257,878.562683,889.993469,874.9946085
-71.258583,-110.04206,-59.98986,-69.624305,-29.693313,-75.637641,-69.37429367,-2536.22998,-2521.874268,-2484.694153,-2518.811768,-2530.614349,-2561.173615,-2525.566356,812.196961,860.083557,841.231018,891.624451,857.23407,863.438782,854.3014732
-72.101326,-111.166465,-60.46688,-70.610221,-30.369186,-77.782539,-70.41610283,-2562.564117,-2555.738403,-2516.258606,-2557.722168,-2563.796875,-2595.930511,-2558.668447,789.229187,838.721863,826.285706,870.565125,835.086975,836.192932,832.680298
-72.765022,-111.878685,-61.023124,-71.610633,-32.289871,-78.251655,-71.303165,-2588.687134,-2589.176178,-2548.709534,-2596.579956,-2598.226196,-2628.262085,-2591.606847,766.471253,816.13324,810.454163,847.437073,810.642517,806.916809,809.6758425
-73.42147,-113.349525,-61.704505,-72.659431,-33.431808,-79.264015,-72.30512567,-2614.756439,-2622.51767,-2582.426819,-2635.354614,-2631.637512,-2660.207825,-2624.48348,743.674744,792.694641,793.450379,822.161194,785.85968,777.252747,785.8488975
-74.047645,-113.958671,-62.785041,-73.695228,-34.372901,-80.255027,-73.18575217,-2640.856293,-2656.258911,-2617.168396,-2673.672028,-2664.626251,-2691.108002,-2657.281647,720.744324,767.677551,775.160584,795.079529,759.974304,746.785706,760.9036663
-74.634346,-114.851722,-63.044715,-74.79676,-35.278526,-81.122856,-73.95482083,-2667.251343,-2689.571838,-2651.973694,-2711.385162,-2697.196259,-2720.989197,-2689.727916,697.707092,741.805847,756.121277,766.100403,733.045837,715.671936,735.0753987
-75.070976,-115.675361,-63.757942,-75.410469,-36.093795,-82.067421,-74.67932733,-2693.828094,-2722.687378,-2688.455139,-2748.205933,-2729.384033,-2749.866089,-2722.071111,675.670227,714.844788,734.889587,735.549011,705.135925,684.255554,708.3908487
-75.60395,-116.454704,-64.480278,-76.572319,-37.196579,-83.801704,-75.68492233,-2721.081116,-2755.678589,-2725.609619,-2784.598206,-2761.594055,-2777.321655,-2754.313873,652.804993,686.691956,712.105042,703.498474,676.281311,652.49054,680.645386
-76.381874,-117.183708,-65.23513,-77.787315,-37.519775,-84.780769,-76.4814285,-2749.600281,-2788.47052,-2763.13208,-2819.887817,-2793.18988,-2804.625427,-2786.484334,629.441467,657.51117,687.572449,670.416809,646.484558,620.716858,652.0238852
